@relation train_data2

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {up,left,down,right,tilt_left,tilt_right}

@data
31,16,-38,-7,-15,-4,-9,11,-14,-5,-8,-6,-13,9,-19,-6,-8,-6,-14,5,-11,-6,-3,-4,-12,3,-9,-7,-4,-2,-18,-3,-10,-8,-3,-1,-9,-6,-4,-10,-1,1,-3,-4,-6,-9,0,2,17,1,-8,-7,-2,0,24,4,-3,-5,-1,-2,31,5,3,-3,-1,-5,27,4,4,-1,-6,-7,27,-3,10,-2,-7,-9,6,-8,14,-3,-8,-9,1,-10,7,-5,-9,-9,-8,-8,11,-5,-8,-8,-1,-4,-2,-5,-7,-7,-6,0,0,-5,-5,-7,-2,0,-6,-4,-7,-7,-13,-3,-6,-4,-6,-8,up
13,-9,-16,-7,-7,-13,-20,-7,-19,-4,-17,-12,-41,-6,-1,-3,-10,-9,-13,-10,-15,-5,-11,-10,-22,-3,-6,-5,-6,-8,-31,7,2,-5,-8,-6,-20,2,-2,-7,-3,-4,-4,0,-1,-8,-4,0,-19,4,1,-8,-1,5,-8,7,-7,-9,-3,6,26,-2,-9,-6,-3,2,29,2,-2,-5,-4,0,29,2,-4,-5,-4,-5,27,-2,7,-4,-5,-9,28,-11,10,-3,-8,-11,2,-10,10,-5,-6,-9,-1,-8,7,-5,-6,-9,-6,-6,5,-4,-7,-8,-2,-5,-2,-4,-7,-9,-10,0,-6,-3,-10,-9,up
22,-3,16,-4,-7,-11,-3,-15,18,-1,-8,-10,0,-7,4,-2,-7,-11,-21,-5,4,-3,-6,-9,-10,0,-6,-4,-8,-9,-25,-1,-1,-4,-3,-9,-21,12,-3,-5,-6,-7,-18,7,-5,-6,-5,-5,-6,7,-4,-7,-4,-2,-13,5,1,-8,-4,1,-3,10,-17,-10,-7,5,7,-4,2,-11,-3,3,8,-9,-2,-11,-2,1,20,-10,0,-8,-5,-4,23,-11,3,-5,0,-7,24,-12,11,-1,-3,-10,18,-6,-9,0,-3,-9,13,1,5,0,-6,-8,6,1,3,-2,-6,-6,4,0,5,-4,-9,-5,up
10,3,-16,-3,-10,-9,-9,-4,-17,-4,-2,-11,-20,0,-5,-5,-13,-9,-12,-1,-8,-5,-10,-9,-24,5,-3,-5,-8,-9,-25,4,-10,-7,-9,-8,-21,5,1,-6,-6,-6,-13,7,-1,-6,-3,-5,-19,6,1,-6,-3,-2,-6,2,-6,-7,-4,0,2,1,-1,-9,-5,2,6,-2,-5,-10,-5,1,13,-9,-7,-7,0,0,24,-8,-6,-6,0,-2,28,-11,-1,-5,-1,-4,20,-10,7,-1,-1,-8,13,-8,7,-1,-7,-7,7,-5,6,-3,-10,-7,-1,-3,7,-3,-11,-8,-6,-4,5,-3,-7,-8,up
11,3,-26,-3,-13,-10,-6,-1,-23,-4,-4,-11,-20,3,-8,-4,-13,-10,-9,1,-15,-5,-8,-10,-26,14,-7,-5,-7,-9,-20,5,-9,-7,-7,-9,-25,8,3,-7,-6,-5,-11,9,-3,-7,-3,-3,-16,6,3,-7,-3,0,0,-5,-4,-8,-5,1,-10,6,-5,-7,-3,4,-1,-4,0,-8,-4,4,5,-10,-3,-8,-2,0,10,-7,-2,-7,-5,-2,21,-10,-1,-5,-3,-5,26,-15,8,-4,-4,-8,27,-8,-5,-3,-5,-10,15,-7,3,-3,-5,-9,10,-6,3,-3,-6,-8,2,-5,5,-4,-7,-7,up
28,18,-32,-5,-26,-10,9,-8,-12,-6,-5,-8,-9,5,-3,-6,-9,-5,-7,-1,-9,-7,-10,-3,-6,-5,-5,-7,-4,0,-12,-3,-8,-8,-1,1,-10,5,-10,-8,-3,3,5,0,-12,-8,-2,2,19,6,-6,-6,1,0,28,7,-5,-5,-5,-4,30,1,6,-4,-4,-6,32,-5,11,-3,-7,-8,26,-7,10,-3,-7,-9,11,-10,11,-4,-9,-10,1,-7,5,-4,-7,-10,-2,-5,1,-5,-9,-10,-13,-5,-7,-4,-7,-10,-20,-2,-9,-4,-8,-10,-29,-2,-10,-4,-7,-9,-25,-1,-11,-4,-8,-7,up
1,-7,-13,-5,-17,-9,-17,6,-22,-3,-21,-9,-36,1,-19,-4,-15,-7,-31,1,-4,-4,-10,-6,-22,-2,-15,-4,-12,-7,-29,0,-3,-4,-7,-5,-22,-6,3,-6,-2,-3,-7,-3,-4,-8,-1,-1,-5,-4,-9,-9,-1,2,-8,5,-2,-10,-1,4,-1,2,-9,-11,0,4,16,6,-8,-9,-1,2,25,6,5,-6,-3,-2,31,4,3,-4,-5,-6,30,-5,12,-2,-4,-8,31,-7,12,-2,-8,-10,12,-12,14,-2,-8,-10,2,-15,9,-4,-9,-10,-7,-11,7,-4,-7,-9,-3,-6,-1,-4,-6,-9,up
3,-20,-21,-3,-4,-7,1,0,-16,-6,-18,-8,-23,-1,-10,-6,-10,-7,-9,1,-7,-7,-8,-8,-11,5,-7,-7,-8,-8,-14,11,-6,-7,-9,-7,-17,4,-8,-7,-2,-5,-7,4,-7,-8,-2,-3,-14,1,-11,-8,-4,1,-10,-1,-11,-10,-3,5,-9,-6,-5,-11,-2,5,5,-3,-3,-11,-1,3,17,0,2,-9,-4,-1,26,1,8,-6,-2,-5,30,-3,12,-3,-4,-8,30,-4,12,-1,-5,-10,16,-7,15,-1,-8,-10,7,-10,11,-1,-7,-9,0,-9,7,-2,-9,-8,-3,-7,1,-2,-8,-8,up
14,22,-7,-4,-14,-8,5,7,-14,-6,-5,-7,-12,17,0,-5,-6,-5,2,10,-9,-6,-5,-6,-9,6,-2,-6,-4,-4,-15,6,-2,-7,-4,-2,-15,4,-1,-7,-4,0,-6,-1,-6,-9,-4,1,-8,-4,-1,-9,-5,2,10,-5,-8,-10,-7,0,12,-9,2,-8,2,-2,29,-5,2,-5,-3,-5,27,-7,3,-4,-3,-7,20,-4,6,-2,-4,-8,10,-3,11,-1,-4,-8,12,-5,5,-2,-11,-9,-8,-5,8,-3,-9,-8,-8,-6,5,-3,-9,-8,-8,-3,0,-2,-5,-8,-5,-2,-4,-2,-6,-8,up
38,-11,-36,-8,5,-10,-21,4,-13,-5,1,-4,-5,1,-8,-9,-4,-5,-11,0,3,-9,0,-3,-2,3,-3,-8,-3,-3,-18,5,3,-8,-5,0,-2,2,0,-9,-5,1,-7,-2,-5,-7,-5,2,-2,-3,-12,-8,-6,4,3,0,-9,-9,-3,2,26,-10,7,-5,-3,-5,28,-12,7,-4,-4,-7,27,-8,13,-4,-3,-9,26,-8,13,-1,-5,-13,15,-13,12,0,-6,-12,-6,-4,-2,-4,-6,-9,-8,-1,-4,-4,-10,-9,-18,-2,-6,-4,-6,-9,-16,3,-7,-5,-8,-8,-20,-1,-5,-5,-5,-7,up
