@relation train_data_new

@attribute AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute AccX21 numeric
@attribute AccY21 numeric
@attribute AccZ21 numeric
@attribute GyrX21 numeric
@attribute GyrY21 numeric
@attribute GyrZ21 numeric
@attribute AccX22 numeric
@attribute AccY22 numeric
@attribute AccZ22 numeric
@attribute GyrX22 numeric
@attribute GyrY22 numeric
@attribute GyrZ22 numeric
@attribute AccX23 numeric
@attribute AccY23 numeric
@attribute AccZ23 numeric
@attribute GyrX23 numeric
@attribute GyrY23 numeric
@attribute GyrZ23 numeric
@attribute AccX24 numeric
@attribute AccY24 numeric
@attribute AccZ24 numeric
@attribute GyrX24 numeric
@attribute GyrY24 numeric
@attribute GyrZ24 numeric
@attribute AccX25 numeric
@attribute AccY25 numeric
@attribute AccZ25 numeric
@attribute GyrX25 numeric
@attribute GyrY25 numeric
@attribute GyrZ25 numeric
@attribute AccX26 numeric
@attribute AccY26 numeric
@attribute AccZ26 numeric
@attribute GyrX26 numeric
@attribute GyrY26 numeric
@attribute GyrZ26 numeric
@attribute AccX27 numeric
@attribute AccY27 numeric
@attribute AccZ27 numeric
@attribute GyrX27 numeric
@attribute GyrY27 numeric
@attribute GyrZ27 numeric
@attribute AccX28 numeric
@attribute AccY28 numeric
@attribute AccZ28 numeric
@attribute GyrX28 numeric
@attribute GyrY28 numeric
@attribute GyrZ28 numeric
@attribute AccX29 numeric
@attribute AccY29 numeric
@attribute AccZ29 numeric
@attribute GyrX29 numeric
@attribute GyrY29 numeric
@attribute GyrZ29 numeric
@attribute AccX30 numeric
@attribute AccY30 numeric
@attribute AccZ30 numeric
@attribute GyrX30 numeric
@attribute GyrY30 numeric
@attribute GyrZ30 numeric
@attribute Label {up,down,right,left,tilt_right,tilt_left}

@data
1,20,4,-361,183,710,228,15,-1,89,-158,71,96,-81,82,96,306,-875,204,-78,123,424,383,-2396,-21,72,-85,496,-2215,-1290,-171,-120,14,677,328,-922,6,-16,-5,25,280,-549,-22,56,-51,-2,-2238,-1174,-114,32,15,259,1894,689,-46,83,-106,93,-2673,-845,-141,2,85,391,3165,1230,75,13,-159,-254,-2627,-1095,-198,20,93,-276,3529,1334,182,21,-100,-266,-2242,131,-75,-36,90,-191,1610,813,70,31,-52,-33,-797,212,-36,-2,50,-126,290,429,70,14,-17,-8,96,-66,-22,5,9,-26,-151,64,20,3,-2,18,161,-2,-13,-1,8,8,29,-42,-3,1,-18,14,-277,34,-22,-11,16,-38,412,118,14,5,-10,-50,-247,19,-8,1,12,7,255,75,22,-2,-21,-20,-420,69,-69,-9,7,-93,774,225,293,-47,87,-1076,1310,2937,284,-102,115,809,495,-1868,-85,-15,-63,73,-3829,-2214,up
90,-36,67,48,1436,-722,85,79,-1,-248,-1911,-1735,-181,142,-78,354,125,113,-260,77,-20,34,-937,2044,90,-109,-128,-107,874,-1829,-237,59,136,-130,481,1420,177,-26,-104,-517,-235,444,-33,-18,79,-138,447,892,111,10,-10,-8,-81,227,-4,20,13,27,-50,10,4,15,-6,-25,27,-25,10,3,-1,27,-66,-131,-18,-5,15,21,102,62,14,-9,-7,-26,-146,-41,-7,-2,-1,49,41,-28,-7,2,-2,-4,51,19,3,3,-3,-16,83,17,-13,1,4,-2,-144,66,-16,1,-6,13,98,79,6,-11,-3,-74,-216,187,-36,-7,-3,-102,124,315,-6,4,-36,-142,-527,309,-56,-5,19,-209,669,476,-25,-7,-86,-661,-1474,1190,56,-27,112,-514,3199,810,179,37,-5,173,143,131,128,-39,70,290,-1496,-667,-78,-147,0,1573,-937,-3951,78,-29,61,184,1870,-567,94,66,-49,-521,-3467,-1436,up
73,3,-55,-152,-255,373,11,-1,25,-20,260,47,1,13,5,-89,-133,54,13,-1,13,30,213,-25,-30,3,-5,43,-78,54,21,-2,-2,1,58,7,2,1,-5,20,-88,35,-15,1,-7,-22,60,75,-6,-10,3,-47,71,147,-24,-2,-2,-33,-91,208,-15,-6,-7,-94,267,310,-64,-3,-25,-232,-417,634,-25,-25,7,-243,331,904,62,-16,-19,-296,-173,516,-98,23,32,-646,176,1022,328,31,54,73,2152,-142,256,-51,105,804,-1303,-2451,206,-110,-4,753,151,-1355,-413,5,-97,330,-2993,-1560,18,-60,62,332,1022,-110,53,39,-20,-102,828,-1020,-90,99,-41,5,-1792,-273,-86,62,-41,140,782,2342,-301,16,-18,310,794,-1954,165,-24,-83,-697,94,650,-59,40,80,5,-164,646,40,-27,-30,-266,4,647,416,-102,209,-929,1267,3405,171,-89,-33,991,-729,-2848,-357,19,-51,196,-123,-837,up
111,-15,24,40,1158,-249,-4,40,-2,-217,-2415,-1352,-168,48,-11,236,263,-272,-65,50,-103,5,-668,1014,-202,20,105,283,1767,61,220,23,-200,-280,-2083,-717,-305,-6,159,-118,2292,1606,243,-54,-39,-295,39,139,-17,55,26,87,-992,92,-6,15,-36,15,567,263,17,-1,5,-39,-423,70,-29,16,-3,-56,234,195,39,-14,20,-56,98,68,4,13,-11,74,-113,-8,-2,1,9,25,-35,12,12,7,-18,17,-6,-60,-28,-2,8,-8,97,67,11,4,-11,-20,-122,17,9,-6,7,-16,255,39,0,4,-11,-2,-261,-27,-17,0,14,-22,397,79,11,4,-9,-2,-298,-4,-29,-3,3,-10,381,169,-87,-4,-13,-49,-386,515,-75,-9,-38,-394,749,1222,65,-33,12,-268,-236,712,-60,41,8,-310,-143,1010,148,4,57,-343,974,1016,342,-19,65,375,-103,-886,317,-119,75,809,1610,-1410,up
112,-120,-163,-793,-1605,1313,12,-28,130,-304,1298,762,130,22,-18,12,-485,182,-47,15,25,34,-173,389,46,10,-39,-42,-55,50,-17,9,24,-51,-2,109,19,3,4,-24,198,42,4,1,2,44,-1,-64,-7,3,-15,11,-120,5,1,-4,3,-46,151,20,-11,1,-4,-29,-72,66,4,-2,4,-23,114,45,-4,3,-2,-19,-80,63,-16,0,-8,-52,26,133,-44,-11,-9,-85,70,428,-101,-9,-37,-380,-1,899,64,-42,38,-421,148,704,15,19,-37,-226,-177,545,-71,37,-15,-410,-749,786,249,-16,155,-66,3670,661,396,-53,61,1116,-1656,-3724,-63,-108,42,527,-947,-997,-281,5,-105,306,-1189,-689,56,-35,33,385,-110,-713,42,56,-11,-39,546,-982,-67,95,-17,108,-105,-239,-57,110,-178,138,-2862,2067,-286,-71,84,-646,3329,116,111,-10,-10,-164,-398,783,31,4,23,-6,542,203,up
41,28,-11,-57,-147,18,0,11,-1,-30,44,-25,2,1,3,18,-46,-39,-14,-5,8,-36,28,4,2,-8,3,-8,187,56,14,-2,-10,50,-238,-41,-22,-3,7,-48,115,81,2,4,-15,-8,-107,32,-51,-6,-8,-86,-107,290,-84,20,-59,-228,-164,622,-85,-48,3,-647,120,1415,132,-13,26,-650,810,633,-5,18,31,-342,-1026,717,204,10,128,293,2855,241,392,-27,44,1440,1554,-2975,-86,-105,-44,286,-4663,-2065,-250,-27,-40,240,-1149,-434,14,-25,35,553,2169,-598,70,42,-24,-353,-1473,-1009,-126,114,0,-19,811,524,-205,62,-155,366,-3238,2269,-25,-95,21,-36,3908,-2016,-108,44,6,-287,-1493,1156,136,-38,41,-411,1684,636,109,10,35,114,-374,59,-31,56,-50,69,-598,-33,-36,-4,13,-107,704,353,147,-54,29,-1674,2503,4092,114,47,48,446,-1968,-1678,-49,-64,16,314,716,208,up
269,-96,60,582,91,-2396,-187,-7,-1,146,-1698,-1581,-23,-16,-24,321,-1027,-187,-39,-1,0,141,335,-614,-27,41,-13,45,-229,-263,-39,91,-50,135,483,-13,-50,50,-9,484,-1173,1252,-243,89,-141,8,216,-1939,-83,-108,140,-475,3281,1727,262,24,-115,-441,-2140,79,-134,-7,101,-32,-113,997,112,-6,-42,-78,476,349,-4,15,28,-56,-177,56,31,17,-3,-11,143,-51,-13,5,4,67,-180,-70,2,-3,-2,-9,135,-32,-23,-4,3,8,-82,25,19,-1,-16,-11,97,45,-29,4,1,-46,-21,131,-11,-10,-11,-76,156,234,-63,24,-41,-88,-350,578,-20,-56,34,-460,882,733,6,5,-23,-259,-1092,459,-20,-23,55,-317,1368,917,99,2,-2,-112,-307,566,187,5,55,213,944,-35,118,-26,61,459,-346,-1570,269,-127,-34,725,-222,-2417,-312,58,-28,245,-2633,-1781,-45,-11,19,303,512,-508,up
140,14,43,-46,899,625,159,-34,70,65,151,-30,326,-94,70,1151,1802,-3028,-143,10,-123,168,-4707,-2862,-293,-56,37,-68,912,1504,278,-32,44,221,571,-1248,-114,43,-21,-120,-1478,-1619,-59,47,11,283,1097,-87,9,90,-104,74,-1742,-147,-346,55,56,209,2128,2018,53,-55,-181,-262,-2031,-349,37,-45,95,-626,2940,980,66,26,52,-29,-1094,317,23,16,0,64,172,297,13,10,1,71,-222,35,-3,16,-11,-4,381,41,5,-1,6,-29,-188,-8,14,-6,1,38,-53,-113,-31,-3,12,13,85,26,17,5,-16,14,-40,-45,-9,-2,7,4,55,62,9,4,-5,10,-45,-4,-5,-2,3,-36,61,32,6,-1,3,13,23,-12,-18,1,-4,-1,-123,86,-29,6,-22,-51,-8,240,-146,5,-40,-157,-470,880,137,-61,82,-1130,1511,2871,252,46,10,288,847,-476,136,-76,89,416,-191,-802,up
173,-75,1,673,-301,-4012,-256,27,-61,234,-2273,-785,-21,-49,13,220,-511,-360,-111,53,-16,37,305,-600,21,41,19,-34,111,3,-27,66,-142,312,-1352,2082,-344,-5,19,-243,2887,-1908,90,18,-22,-61,-2075,1769,143,-31,29,-337,2270,157,-61,29,9,-56,-1564,486,26,-8,12,-91,1236,283,31,13,-14,24,-870,-18,-21,3,17,-110,887,196,53,6,-13,-9,-455,-101,-23,-1,15,53,114,-42,-5,-1,-2,14,-97,26,2,2,-3,-10,94,-24,2,2,2,11,-67,8,-6,2,-6,-13,50,15,-15,-3,0,-24,-26,83,-36,1,-12,-46,159,247,-66,-5,-29,-222,-10,666,-62,-10,2,-341,336,930,70,-49,24,-379,-63,920,-35,39,-17,-121,209,821,106,-25,119,-156,2430,1416,397,73,-7,618,-2096,-2692,-119,-128,16,971,-209,-3352,51,-47,-1,112,-1307,-815,-12,-40,11,-87,-737,-882,up
274,64,78,-342,1508,19,148,-48,109,440,216,-736,287,-48,38,1070,648,-4250,-172,-50,-70,446,-2256,-722,-126,-27,-19,525,-2316,-360,-45,18,20,258,1747,-736,-19,62,-34,-251,-528,-722,-33,74,-113,-159,-2363,1480,-378,15,59,-20,5633,-824,213,-69,-35,-434,-1998,1572,98,53,28,151,-1517,-349,-230,4,30,-411,2737,992,120,-15,-27,102,-2143,323,-12,11,34,28,318,207,47,7,-9,-61,312,286,23,6,6,49,-41,-118,-28,11,-5,83,-290,17,15,-8,-3,-51,296,62,8,-4,-1,26,-165,-73,-4,-4,-2,-5,103,-24,-8,1,0,16,-119,-19,-2,3,-6,-30,118,46,-20,-4,-1,-6,-161,89,-40,-8,-14,-58,155,337,-58,-4,-22,-115,-309,705,14,-28,-4,-298,536,743,-9,-12,-24,-333,-621,941,122,13,101,-785,2244,1952,354,57,10,546,59,-1791,235,-184,104,1054,383,-2039,up
172,9,64,-83,808,577,77,13,52,243,757,384,319,-49,-22,694,-404,-2993,279,-96,48,-125,-830,-1156,-435,41,-59,143,-2595,-1933,-25,-48,41,405,-97,-566,-65,44,-47,57,-304,-622,-28,63,39,108,1751,653,-130,94,-166,276,-2460,1426,-172,-90,35,-467,4083,-975,86,33,32,-76,-2295,607,3,10,-7,-198,1402,724,53,-20,26,-60,-636,477,60,16,-7,19,90,-29,-19,17,-13,-18,-158,182,-2,2,12,-36,403,69,18,-1,3,-14,-208,-61,-8,-3,7,13,243,29,18,-1,-12,24,-212,-60,-15,1,6,-15,161,16,5,1,-9,-23,-150,-19,-18,0,11,15,175,60,1,0,-6,-16,-139,34,-13,-3,5,-39,267,109,-55,4,-25,-39,-342,353,-86,-15,-19,-220,360,784,-10,-22,-10,-401,-444,1039,149,10,42,-355,1510,1018,52,2,60,-72,386,444,182,-17,42,422,448,-862,up
328,-86,52,582,-727,-2744,-214,-17,-34,135,-1314,-1555,-48,-7,-29,317,-1810,-788,-141,26,19,251,109,-733,18,28,-18,10,172,-135,-83,77,-93,-62,42,1124,-314,87,0,590,-466,-428,183,-119,-81,-721,2173,682,12,26,70,-98,-1797,666,-45,17,16,-87,1735,418,77,-9,-28,-144,-799,336,12,6,12,-7,724,135,14,19,-7,-40,-307,45,-6,3,12,-6,186,30,17,1,0,12,-103,-81,-7,-1,7,7,8,-34,-3,3,-9,11,30,-13,-8,-5,6,-2,44,35,-6,6,-8,-33,-85,67,-1,-4,8,-28,260,77,-16,0,-2,-33,-227,63,-63,2,-27,-96,708,401,-9,-17,-31,-313,-1560,574,7,-11,-4,-498,1682,836,-20,-12,59,-246,-357,945,-1,24,22,-141,594,596,161,-18,72,153,823,536,110,-108,23,1949,-3184,-6957,-39,41,-72,-214,-1751,-345,-91,72,40,337,3102,2219,up
127,4,-47,-184,100,51,-15,0,31,-84,-73,411,69,6,-13,11,-122,-24,-37,21,15,-37,-355,100,15,-1,9,-35,471,54,2,-2,-8,15,-215,-1,-8,-4,10,13,137,40,14,3,-16,-3,-36,-3,-11,-1,8,-41,125,25,-8,2,-16,-40,-180,83,-32,-7,5,-96,332,277,-27,9,-56,-127,-613,567,-75,-48,35,-375,1339,858,49,-4,-29,-398,-1012,755,-76,10,83,-250,676,1059,229,2,43,93,804,194,89,1,29,287,210,-402,255,-103,26,763,277,-2098,175,-33,18,141,-800,-2002,-360,19,-63,226,-2395,-1311,3,-53,48,415,501,-540,-47,54,-49,-262,-527,-705,-42,100,-7,42,333,-168,-158,93,-115,554,-2260,2458,-132,-82,-40,-628,3235,-1624,-76,10,124,149,-677,1391,190,3,-81,-397,970,364,-111,-25,109,-1193,794,4736,341,14,-5,314,752,-64,75,-10,51,252,-1111,-1805,up
